publish_order,week,batch,id,keyword,cluster,priority,content_type,target_route,recommended_url
"1","1","W01","NEG-003","reply template when client asks for discount","negotiation-discount","P1","template","/deal","/blog/reply-template-when-client-asks-for-discount"
"2","1","W01","NEG-004","freelancer negotiation email when client asks for discount","negotiation-discount","P1","template","/deal","/blog/freelancer-negotiation-email-when-client-asks-for-discount"
"3","1","W01","NEG-007","reply template when client says your price is too high","negotiation-discount","P1","template","/deal","/blog/reply-template-when-client-says-your-price-is-too-high"
"4","1","W01","PRI-008","freelance landing page copywriting project pricing template","pricing-strategy","P1","template","/pricing","/blog/freelance-landing-page-copywriting-project-pricing-template"
"5","1","W01","PRI-009","freelance landing page copywriting project rate calculator","pricing-strategy","P1","tool","/pricing","/blog/freelance-landing-page-copywriting-project-rate-calculator"
"6","1","W01","PRI-011","freelance social media management project pricing template","pricing-strategy","P1","template","/pricing","/blog/freelance-social-media-management-project-pricing-template"
"7","1","W01","COM-002","email template when client stops replying after proposal","client-communication","P1","template","/deal","/blog/email-template-when-client-stops-replying-after-proposal"
"8","1","W01","COM-003","freelancer message script when client stops replying after proposal","client-communication","P1","template","/deal","/blog/freelancer-message-script-when-client-stops-replying-after-proposal"
"9","1","W01","PRO-001","freelance proposal template for website redesign project","proposal-and-scope","P1","template","/scope","/blog/freelance-proposal-template-for-website-redesign-project"
"10","1","W01","PRO-003","freelance proposal template for brand identity project","proposal-and-scope","P1","template","/scope","/blog/freelance-proposal-template-for-brand-identity-project"
"11","2","W02","NEG-008","freelancer negotiation email when client says your price is too high","negotiation-discount","P1","template","/deal","/blog/freelancer-negotiation-email-when-client-says-your-price-is-too-high"
"12","2","W02","NEG-011","reply template when client says budget is low","negotiation-discount","P1","template","/deal","/blog/reply-template-when-client-says-budget-is-low"
"13","2","W02","NEG-012","freelancer negotiation email when client says budget is low","negotiation-discount","P1","template","/deal","/blog/freelancer-negotiation-email-when-client-says-budget-is-low"
"14","2","W02","PRI-012","freelance social media management project rate calculator","pricing-strategy","P1","tool","/pricing","/blog/freelance-social-media-management-project-rate-calculator"
"15","2","W02","PRI-017","freelance short form video editing project pricing template","pricing-strategy","P1","template","/pricing","/blog/freelance-short-form-video-editing-project-pricing-template"
"16","2","W02","COM-005","email template when client has not replied for a week","client-communication","P1","template","/deal","/blog/email-template-when-client-has-not-replied-for-a-week"
"17","2","W02","COM-006","freelancer message script when client has not replied for a week","client-communication","P1","template","/deal","/blog/freelancer-message-script-when-client-has-not-replied-for-a-week"
"18","2","W02","COM-008","email template when client viewed proposal but did not respond","client-communication","P1","template","/deal","/blog/email-template-when-client-viewed-proposal-but-did-not-respond"
"19","2","W02","PRO-005","freelance proposal template for seo copywriting project","proposal-and-scope","P1","template","/scope","/blog/freelance-proposal-template-for-seo-copywriting-project"
"20","2","W02","PRO-007","freelance proposal template for video editing project","proposal-and-scope","P1","template","/scope","/blog/freelance-proposal-template-for-video-editing-project"
"21","3","W03","NEG-015","reply template when client asks for your best price","negotiation-discount","P1","template","/deal","/blog/reply-template-when-client-asks-for-your-best-price"
"22","3","W03","NEG-016","freelancer negotiation email when client asks for your best price","negotiation-discount","P1","template","/deal","/blog/freelancer-negotiation-email-when-client-asks-for-your-best-price"
"23","3","W03","NEG-019","reply template when client asks you to match a cheaper quote","negotiation-discount","P1","template","/deal","/blog/reply-template-when-client-asks-you-to-match-a-cheaper-quote"
"24","3","W03","PRI-018","freelance short form video editing project rate calculator","pricing-strategy","P1","tool","/pricing","/blog/freelance-short-form-video-editing-project-rate-calculator"
"25","3","W03","PRI-020","freelance ui ux design project pricing template","pricing-strategy","P1","template","/pricing","/blog/freelance-ui-ux-design-project-pricing-template"
"26","3","W03","PRI-021","freelance ui ux design project rate calculator","pricing-strategy","P1","tool","/pricing","/blog/freelance-ui-ux-design-project-rate-calculator"
"27","3","W03","COM-009","freelancer message script when client viewed proposal but did not respond","client-communication","P1","template","/deal","/blog/freelancer-message-script-when-client-viewed-proposal-but-did-not-respond"
"28","3","W03","COM-011","email template when client keeps delaying feedback","client-communication","P1","template","/deal","/blog/email-template-when-client-keeps-delaying-feedback"
"29","3","W03","PRO-009","freelance proposal template for social media retainer","proposal-and-scope","P1","template","/scope","/blog/freelance-proposal-template-for-social-media-retainer"
"30","3","W03","PRO-011","freelance proposal template for email marketing setup","proposal-and-scope","P1","template","/scope","/blog/freelance-proposal-template-for-email-marketing-setup"
"31","4","W04","NEG-020","freelancer negotiation email when client asks you to match a cheaper quote","negotiation-discount","P1","template","/deal","/blog/freelancer-negotiation-email-when-client-asks-you-to-match-a-cheaper-quote"
"32","4","W04","NEG-023","reply template when client says another freelancer is cheaper","negotiation-discount","P1","template","/deal","/blog/reply-template-when-client-says-another-freelancer-is-cheaper"
"33","4","W04","NEG-024","freelancer negotiation email when client says another freelancer is cheaper","negotiation-discount","P1","template","/deal","/blog/freelancer-negotiation-email-when-client-says-another-freelancer-is-cheaper"
"34","4","W04","PRI-026","freelance shopify store setup project pricing template","pricing-strategy","P1","template","/pricing","/blog/freelance-shopify-store-setup-project-pricing-template"
"35","4","W04","PRI-027","freelance shopify store setup project rate calculator","pricing-strategy","P1","tool","/pricing","/blog/freelance-shopify-store-setup-project-rate-calculator"
"36","4","W04","COM-012","freelancer message script when client keeps delaying feedback","client-communication","P1","template","/deal","/blog/freelancer-message-script-when-client-keeps-delaying-feedback"
"37","4","W04","COM-014","email template when client says they will get back to you soon","client-communication","P1","template","/deal","/blog/email-template-when-client-says-they-will-get-back-to-you-soon"
"38","4","W04","COM-015","freelancer message script when client says they will get back to you soon","client-communication","P1","template","/deal","/blog/freelancer-message-script-when-client-says-they-will-get-back-to-you-soon"
"39","4","W04","PRO-012","how to write a proposal for email marketing setup","proposal-and-scope","P1","template","/scope","/blog/how-to-write-a-proposal-for-email-marketing-setup"
"40","4","W04","PRO-013","freelance proposal template for landing page design project","proposal-and-scope","P1","template","/scope","/blog/freelance-proposal-template-for-landing-page-design-project"
"41","5","W05","NEG-027","reply template when client asks for a startup discount","negotiation-discount","P1","template","/deal","/blog/reply-template-when-client-asks-for-a-startup-discount"
"42","5","W05","NEG-028","freelancer negotiation email when client asks for a startup discount","negotiation-discount","P1","template","/deal","/blog/freelancer-negotiation-email-when-client-asks-for-a-startup-discount"
"43","5","W05","NEG-031","reply template when client asks for a long-term discount upfront","negotiation-discount","P1","template","/deal","/blog/reply-template-when-client-asks-for-a-long-term-discount-upfront"
"44","5","W05","PRI-028","how to price freelance email marketing setup project","pricing-strategy","P1","template","/pricing","/blog/how-to-price-freelance-email-marketing-setup-project"
"45","5","W05","PRI-029","freelance email marketing setup project pricing template","pricing-strategy","P1","template","/pricing","/blog/freelance-email-marketing-setup-project-pricing-template"
"46","5","W05","PRI-030","freelance email marketing setup project rate calculator","pricing-strategy","P1","tool","/pricing","/blog/freelance-email-marketing-setup-project-rate-calculator"
"47","5","W05","COM-017","email template when client missed project kickoff meeting","client-communication","P1","template","/deal","/blog/email-template-when-client-missed-project-kickoff-meeting"
"48","5","W05","COM-018","freelancer message script when client missed project kickoff meeting","client-communication","P1","template","/deal","/blog/freelancer-message-script-when-client-missed-project-kickoff-meeting"
"49","5","W05","PRO-015","freelance proposal template for app ui design project","proposal-and-scope","P1","template","/scope","/blog/freelance-proposal-template-for-app-ui-design-project"
"50","5","W05","PRO-017","freelance proposal template for wordpress development project","proposal-and-scope","P1","template","/scope","/blog/freelance-proposal-template-for-wordpress-development-project"
"51","6","W06","NEG-032","freelancer negotiation email when client asks for a long-term discount upfront","negotiation-discount","P1","template","/deal","/blog/freelancer-negotiation-email-when-client-asks-for-a-long-term-discount-upfront"
"52","6","W06","NEG-035","reply template when client asks for free extra deliverables","negotiation-discount","P1","template","/deal","/blog/reply-template-when-client-asks-for-free-extra-deliverables"
"53","6","W06","NEG-036","freelancer negotiation email when client asks for free extra deliverables","negotiation-discount","P1","template","/deal","/blog/freelancer-negotiation-email-when-client-asks-for-free-extra-deliverables"
"54","6","W06","PRI-032","freelance seo content writing project pricing template","pricing-strategy","P1","template","/pricing","/blog/freelance-seo-content-writing-project-pricing-template"
"55","6","W06","PRI-033","freelance seo content writing project rate calculator","pricing-strategy","P1","tool","/pricing","/blog/freelance-seo-content-writing-project-rate-calculator"
"56","6","W06","COM-020","email template when client is late with required assets","client-communication","P1","template","/deal","/blog/email-template-when-client-is-late-with-required-assets"
"57","6","W06","COM-021","freelancer message script when client is late with required assets","client-communication","P1","template","/deal","/blog/freelancer-message-script-when-client-is-late-with-required-assets"
"58","6","W06","COM-023","email template when client sends unclear feedback","client-communication","P1","template","/deal","/blog/email-template-when-client-sends-unclear-feedback"
"59","6","W06","PRO-019","freelance proposal template for shopify migration project","proposal-and-scope","P1","template","/scope","/blog/freelance-proposal-template-for-shopify-migration-project"
"60","6","W06","PRO-021","freelance proposal template for marketing strategy consulting","proposal-and-scope","P1","template","/scope","/blog/freelance-proposal-template-for-marketing-strategy-consulting"
"61","7","W07","NEG-039","reply template when client asks for urgent delivery without extra fee","negotiation-discount","P1","template","/deal","/blog/reply-template-when-client-asks-for-urgent-delivery-without-extra-fee"
"62","7","W07","NEG-040","freelancer negotiation email when client asks for urgent delivery without extra fee","negotiation-discount","P1","template","/deal","/blog/freelancer-negotiation-email-when-client-asks-for-urgent-delivery-without-extra-"
"63","7","W07","NEG-043","reply template when client asks for one more revision for free","negotiation-discount","P1","template","/deal","/blog/reply-template-when-client-asks-for-one-more-revision-for-free"
"64","7","W07","PRI-041","freelance pitch deck design project pricing template","pricing-strategy","P1","template","/pricing","/blog/freelance-pitch-deck-design-project-pricing-template"
"65","7","W07","PRI-042","freelance pitch deck design project rate calculator","pricing-strategy","P1","tool","/pricing","/blog/freelance-pitch-deck-design-project-rate-calculator"
"66","7","W07","PRI-059","freelance product page copy project pricing template","pricing-strategy","P1","template","/pricing","/blog/freelance-product-page-copy-project-pricing-template"
"67","7","W07","COM-024","freelancer message script when client sends unclear feedback","client-communication","P1","template","/deal","/blog/freelancer-message-script-when-client-sends-unclear-feedback"
"68","7","W07","COM-026","email template when client gives conflicting instructions","client-communication","P1","template","/deal","/blog/email-template-when-client-gives-conflicting-instructions"
"69","7","W07","PRO-023","freelance proposal template for monthly content package","proposal-and-scope","P1","template","/scope","/blog/freelance-proposal-template-for-monthly-content-package"
"70","7","W07","PRO-025","freelance proposal template for ad creative retainer","proposal-and-scope","P1","template","/scope","/blog/freelance-proposal-template-for-ad-creative-retainer"
"71","8","W08","NEG-044","freelancer negotiation email when client asks for one more revision for free","negotiation-discount","P1","template","/deal","/blog/freelancer-negotiation-email-when-client-asks-for-one-more-revision-for-free"
"72","8","W08","NEG-047","reply template when client says the scope is small so price should drop","negotiation-discount","P1","template","/deal","/blog/reply-template-when-client-says-the-scope-is-small-so-price-should-drop"
"73","8","W08","NEG-048","freelancer negotiation email when client says the scope is small so price should drop","negotiation-discount","P1","template","/deal","/blog/freelancer-negotiation-email-when-client-says-the-scope-is-small-so-price-should"
"74","8","W08","PRI-060","freelance product page copy project rate calculator","pricing-strategy","P1","tool","/pricing","/blog/freelance-product-page-copy-project-rate-calculator"
"75","8","W08","PRI-068","freelance no code build project pricing template","pricing-strategy","P1","template","/pricing","/blog/freelance-no-code-build-project-pricing-template"
"76","8","W08","COM-027","freelancer message script when client gives conflicting instructions","client-communication","P1","template","/deal","/blog/freelancer-message-script-when-client-gives-conflicting-instructions"
"77","8","W08","COM-029","email template when client asks for status updates every day","client-communication","P1","template","/deal","/blog/email-template-when-client-asks-for-status-updates-every-day"
"78","8","W08","COM-030","freelancer message script when client asks for status updates every day","client-communication","P1","template","/deal","/blog/freelancer-message-script-when-client-asks-for-status-updates-every-day"
"79","8","W08","PRO-027","freelance proposal template for sales page copywriting project","proposal-and-scope","P1","template","/scope","/blog/freelance-proposal-template-for-sales-page-copywriting-project"
"80","8","W08","PRO-029","freelance proposal template for podcast production package","proposal-and-scope","P1","template","/scope","/blog/freelance-proposal-template-for-podcast-production-package"
"81","9","W09","NEG-051","reply template when client asks for bundled services at a lower price","negotiation-discount","P1","template","/deal","/blog/reply-template-when-client-asks-for-bundled-services-at-a-lower-price"
"82","9","W09","NEG-052","freelancer negotiation email when client asks for bundled services at a lower price","negotiation-discount","P1","template","/deal","/blog/freelancer-negotiation-email-when-client-asks-for-bundled-services-at-a-lower-pr"
"83","9","W09","NEG-055","reply template when client wants monthly retainer at a lower rate","negotiation-discount","P1","template","/deal","/blog/reply-template-when-client-wants-monthly-retainer-at-a-lower-rate"
"84","9","W09","PRI-069","freelance no code build project rate calculator","pricing-strategy","P1","tool","/pricing","/blog/freelance-no-code-build-project-rate-calculator"
"85","9","W09","PRI-002","freelance logo design project pricing template","pricing-strategy","P2","template","/pricing","/blog/freelance-logo-design-project-pricing-template"
"86","9","W09","PRI-003","freelance logo design project rate calculator","pricing-strategy","P2","tool","/pricing","/blog/freelance-logo-design-project-rate-calculator"
"87","9","W09","COM-032","email template when client keeps changing direction","client-communication","P1","template","/deal","/blog/email-template-when-client-keeps-changing-direction"
"88","9","W09","COM-033","freelancer message script when client keeps changing direction","client-communication","P1","template","/deal","/blog/freelancer-message-script-when-client-keeps-changing-direction"
"89","9","W09","PRO-031","freelance proposal template for product photography package","proposal-and-scope","P1","template","/scope","/blog/freelance-proposal-template-for-product-photography-package"
"90","9","W09","PRO-033","freelance proposal template for content repurposing service","proposal-and-scope","P1","template","/scope","/blog/freelance-proposal-template-for-content-repurposing-service"
"91","10","W10","NEG-056","freelancer negotiation email when client wants monthly retainer at a lower rate","negotiation-discount","P1","template","/deal","/blog/freelancer-negotiation-email-when-client-wants-monthly-retainer-at-a-lower-rate"
"92","10","W10","NEG-059","reply template when client asks to remove contract and lower price","negotiation-discount","P1","template","/deal","/blog/reply-template-when-client-asks-to-remove-contract-and-lower-price"
"93","10","W10","NEG-060","freelancer negotiation email when client asks to remove contract and lower price","negotiation-discount","P1","template","/deal","/blog/freelancer-negotiation-email-when-client-asks-to-remove-contract-and-lower-price"
"94","10","W10","PRI-005","freelance website redesign project pricing template","pricing-strategy","P2","template","/pricing","/blog/freelance-website-redesign-project-pricing-template"
"95","10","W10","PRI-006","freelance website redesign project rate calculator","pricing-strategy","P2","tool","/pricing","/blog/freelance-website-redesign-project-rate-calculator"
"96","10","W10","COM-035","email template when client asks for updates outside agreed channel","client-communication","P1","template","/deal","/blog/email-template-when-client-asks-for-updates-outside-agreed-channel"
"97","10","W10","COM-036","freelancer message script when client asks for updates outside agreed channel","client-communication","P1","template","/deal","/blog/freelancer-message-script-when-client-asks-for-updates-outside-agreed-channel"
"98","10","W10","COM-038","email template when client rejects timeline after kickoff","client-communication","P1","template","/deal","/blog/email-template-when-client-rejects-timeline-after-kickoff"
"99","10","W10","PRO-035","freelance proposal template for crm implementation project","proposal-and-scope","P1","template","/scope","/blog/freelance-proposal-template-for-crm-implementation-project"
"100","10","W10","PRO-037","freelance proposal template for analytics setup project","proposal-and-scope","P1","template","/scope","/blog/freelance-proposal-template-for-analytics-setup-project"
